SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION,RUN
YRX3.sol,,3,DynaMOSA,true,false,0.5514018691588785,7,18,0.3888888888888889,65,108,0.6018518518518519,35,48,0.7291666666666666,12,34,0.35294117647058826,23.97699999809265,1779.6769998073578,1803.6539998054504,67,742,1,76
WolfStakingRewards.sol,,114,DynaMOSA,true,false,0.4166666666666667,5,14,0.35714285714285715,46,98,0.46938775510204084,24,38,0.631578947368421,11,40,0.275,19.789000034332275,1781.593999862671,1801.3829998970032,73,805,1,76
Weedburn.sol,,751,DynaMOSA,true,false,0.7195121951219512,2,10,0.2,58,88,0.6590909090909091,24,26,0.9230769230769231,19,40,0.475,11.05899977684021,1789.9560000896454,1801.0149998664856,134,1484,1,76
WOLF.sol,,29,DynaMOSA,true,false,0.6666666666666666,9,22,0.4090909090909091,30,39,0.7692307692307693,8,8,1,8,12,0.6666666666666666,7.151000022888184,1793.704999923706,1800.8559999465942,237,2617,1,76
Vat.sol,,831,DynaMOSA,true,false,0.7117117117117117,3,8,0.375,64,98,0.6530612244897959,28,29,0.9655172413793104,25,62,0.4032258064516129,13.117000102996826,1788.101000070572,1801.2180001735687,193,2123,1,76
UFragments.sol,,772,DynaMOSA,true,false,0.21487603305785125,3,28,0.10714285714285714,32,136,0.23529411764705882,18,35,0.5142857142857142,4,34,0.11764705882352941,19.68400001525879,1780.444000005722,1800.1280000209808,87,962,1,76
Token50X100.sol,,190,DynaMOSA,true,false,0.34782608695652173,4,36,0.1111111111111111,49,146,0.3356164383561644,24,40,0.6,9,50,0.18,30.812999963760376,1770.0380001068115,1800.851000070572,63,695,1,76
ThriftToken.sol,,539,DynaMOSA,true,false,0.8,1,2,0.5,42,58,0.7241379310344828,10,11,0.9090909090909091,22,52,0.4230769230769231,13.659000158309937,1787.0599999427795,1800.7190001010895,188,2070,1,76
TPA.sol,,532,DynaMOSA,true,false,0.6235294117647059,5,18,0.2777777777777778,88,150,0.5866666666666667,50,65,0.7692307692307693,24,56,0.42857142857142855,33.598999977111816,1769.2439999580383,1802.8429999351501,45,501,1,76
StakingDextoken.sol,,981,DynaMOSA,true,false,0.7894736842105263,4,10,0.4,53,93,0.5698924731182796,25,27,0.9259259259259259,24,50,0.48,17.106000185012817,1783.8220000267029,1800.9280002117157,92,1012,1,76
SSTRewards.sol,,813,DynaMOSA,true,false,0.7666666666666667,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,4,6,0.6666666666666666,10.302000045776367,1790.1059999465942,1800.4079999923706,158,1739,1,76
SLTDETHlpReward.sol,,394,DynaMOSA,true,false,0.6068376068376068,4,14,0.2857142857142857,61,105,0.580952380952381,36,47,0.7659574468085106,12,34,0.35294117647058826,22.80900001525879,1778.3580000400543,1801.167000055313,74,814,1,76
