SUBJECT,CONFIGURATION,BASELINE_RUN,STRATEGY_RUN,KILLED_MUTANTS,TOTAL_MUTANTS,MUTATION_SCORE
PACT,sFuzz_false,14,14,5,10,0.5
DSP,sFuzz_false,14,14,5,10,0.5
BACMARSLPTOKENPool,sFuzz_false,10,10,1,10,0.1
MARVELCOIN,sFuzz_false,14,14,2,7,0.2857142857142857
afiController,sFuzz_false,14,14,3,10,0.3
TPA,sFuzz_false,10,10,5,10,0.5
NAL,sFuzz_false,10,10,4,10,0.4
MIMOToken,sFuzz_false,10,10,1,6,0.16666666666666666
FreakCoin,sFuzz_false,10,10,1,5,0.2
HTDD_contract,sFuzz_false,10,10,1,8,0.125
CourtFarming_RoomLPStake,sFuzz_false,10,10,0,2,0.0
StakingDextoken,sFuzz_false,10,10,1,10,0.1
Final,sFuzz_false,10,10,3,10,0.3
MoshiachCoinStaking,sFuzz_false,14,14,3,10,0.3
FrogDAOGovernanceRewards,sFuzz_false,10,10,2,8,0.25
SSTRewards,sFuzz_false,10,10,0,3,0.0
XenoFelix,sFuzz_false,14,14,10,10,1.0
YieldFarmLP2,sFuzz_false,14,14,0,4,0.0
Layerx,sFuzz_false,14,14,3,10,0.3
FrogDAO,sFuzz_false,14,14,1,2,0.5
Wallet,sFuzz_false,14,14,2,2,1.0
EqFinanceStaking,sFuzz_false,10,10,3,10,0.3
PRDZstakingV2,sFuzz_false,14,14,4,9,0.4444444444444444
LpStaking,sFuzz_false,10,10,1,10,0.1
Liquidity_v8,sFuzz_false,14,14,2,10,0.2
REXUNIFINANCE,sFuzz_false,10,10,2,10,0.2
CourtFarming_HTStake,sFuzz_false,14,14,0,2,0.0
UNIWHALE_ERC20,sFuzz_false,14,14,1,4,0.25
DJCoin,sFuzz_false,14,14,6,10,0.6
TimeMiner,sFuzz_false,14,14,6,9,0.6666666666666666
Token50X100,sFuzz_false,10,10,1,10,0.1
vnxManager,sFuzz_false,10,10,6,10,0.6
Ledgis,sFuzz_false,10,10,2,10,0.2
CryptoSecureBankToken,sFuzz_false,14,14,3,10,0.3
GreenMarkTrust,sFuzz_false,14,14,3,7,0.42857142857142855
RIT,sFuzz_false,14,14,3,10,0.3
Weedburn,sFuzz_false,10,10,4,10,0.4
UFragments,sFuzz_false,10,10,3,10,0.3
INS,sFuzz_false,10,10,2,7,0.2857142857142857
WOLF,sFuzz_false,10,10,3,6,0.5
OnXFinance,sFuzz_false,10,10,1,10,0.1
Controller,sFuzz_false,14,14,1,10,0.1
KPLAY,sFuzz_false,10,10,2,10,0.2
MarsStakingRewards,sFuzz_false,14,14,5,10,0.5
Vat,sFuzz_false,10,10,3,10,0.3
RainbowRAK,sFuzz_false,10,10,2,10,0.2
TokenDispatch,sFuzz_false,14,14,2,10,0.2
DMONDETHRewards,sFuzz_false,10,10,3,10,0.3
ZAD,sFuzz_false,10,10,2,10,0.2
DmmControllerV2,sFuzz_false,10,10,3,10,0.3
BirdOracle,sFuzz_false,14,14,1,1,1.0
SALESCONTRACT,sFuzz_false,14,14,2,10,0.2
Cryptoz,sFuzz_false,10,10,2,10,0.2
POWToken,sFuzz_false,10,10,0,10,0.0
GAZ_ERC20,sFuzz_false,14,14,1,10,0.1
Revive,sFuzz_false,10,10,5,10,0.5
MisesLegacyPool,sFuzz_false,10,10,1,3,0.3333333333333333
Fomp,sFuzz_false,14,14,6,10,0.6
Voting,sFuzz_false,14,14,10,10,1.0
TetherToken,sFuzz_false,14,14,1,10,0.1
FairStockEquity,sFuzz_false,14,14,2,10,0.2
AavePoolReward,sFuzz_false,10,10,1,3,0.3333333333333333
NasiLiquidityPoolFactory,sFuzz_false,14,14,1,10,0.1
PlasmaswapPair,sFuzz_false,10,10,1,10,0.1
BAE,sFuzz_false,14,14,0,10,0.0
SpiritCoin,sFuzz_false,14,14,5,10,0.5
SLTDETHlpReward,sFuzz_false,10,10,2,10,0.2
WheaFarm,sFuzz_false,14,14,3,10,0.3
HungryHoody,sFuzz_false,14,14,1,2,0.5
QuickToken,sFuzz_false,14,14,6,10,0.6
SLTDStaking,sFuzz_false,14,14,3,10,0.3
